Company_Brand,Sector,Stage,HeadQuarter,What_it_does,Amount,Year,Founded,Founders,Investor
5C Network,HealthTech,Pre-series A,Bangalore,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",12000000.0,2020,2014.0,Kalyan Sivasailam,"Axilor Ventures, Unitus Ventures"
Ethereum Push Notification Service,Blockchain,Seed,Mumbai,EPNS is a decentralized notification protocol,7500000.0,2020,2020.0,"Harsh Rajat, Richa Joshi",Prolific angel investors
Mihup,Conversational AI platform,Series A,Kolkata,Intelligence-based personal mobile assistant app,15000000.0,2020,2016.0,"Biplab Chakraborty, Sandipan Chattopadhyay, Sandipan Mandal, Tapan Barman","Ideaspring Capital, Accel"
RuralBasket,E-Commerce,Undisclosed,Tirunelveli,Naturally grown and healthy products directly from farmers.,5000000.0,2020,2019.0,Palani Rajan,Nativelead Foundation
WayCool Foods,AgriTech,Debt,Chennai,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.",78000000.0,2020,2015.0,"Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank"
Infra.Market,Real Estate,Series B,Thane,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,200000000.0,2020,2016.0,"Aaditya Sharda, Souvik Sengupta","Trifecta Capital Advisors, Nexus Venture Partners"
Info Edge Venture,Venture Capital,Undisclosed,Noida,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",500000000.0,2020,1995.0,Sanjeev Bikhchandani,Lightbox
Clovia,E-Commerce,Pre Series C,Noida,Clovia is the online lingerie retailer,40000000.0,2020,2013.0,"Neha Kant, Pankaj Vermani","Golden Birch Investments, She Capital"
Codingal,EdTech,Seed,Bangalore,Coding education platform for K-12 students,5600000.0,2020,2020.0,"Satyam Baranwal, Vivek Prakash","Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator."
CRED,Finance,Series C,Bangalore,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,800000000.0,2020,2018.0,Kunal Shah,"General Catalyst, Ribbit Capital"
Vistaar Finance,Finance,Undisclosed,Bangalore,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,300000000.0,2020,2010.0,"Brahmanad, Ramakrishna Nishtala",FMO
Let's Dive,SaaS platform,Undisclosed,Bangalore,A platform for remote employee engagement and building team culture,17000000.0,2020,2020.0,"Nitesh Agrawal, Om Prakash",Surge
Habitat,EdTech,Seed,n/a,"Habitat, a social learning edtech platform for civil service aspirants",6000000.0,2020,2016.0,"Rohit Pande, Shikhar Sachan","Unitus Ventures, Whiteboard Capital"
SAWO Labs,SaaS platform,Seed,Mumbai,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,6000000.0,2020,2020.0,Prabhat Sahu,"StartupXseed Ventures, 100X.VC"
Signzy,AI Platform,Undisclosed,Bangalore,Signzy are creating 'building blocks for a Digital Trust system.,30000000.0,2020,2015.0,"Ankit Ratan, Ankur Pandey, Arpit Ratan","Stellaris Venture Partners, Mastercard"
KopyKitab,EdTech,Undisclosed,Bangalore,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.",428192930.5603539,2020,2013.0,"Amit Shrivastava, Sumeet Verma","Paula Mariwala, Siddharth Anand"
Kyt,EdTech,Undisclosed,Unknown,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,25000000.0,2020,2020.0,"Bhavik Rathod, Tripti Ahuja",Sequoia Capital India’s Surge
Raskik,Fusion beverages,Pre-series A,n/a,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,10000000.0,2020,2019.0,"Vikas Chawla, Abhay Parnerkar, Satyajit Ram","Venture Catalysts, 9Unicorns"
GetWork,HRTech,Pre-seed,Gurugram,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,400000.0,2020,2019.0,Rahul Veerwal,India Accelerator
Mobile Premier League (MPL),Gaming,Series B,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,5000000.0,2020,2018.0,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners"
Pravasirojgar,Job portal,Undisclosed,n/a,Initiative for blue-collar job workers,330000000.0,2020,2020.0,Sonu Sood,GoodWorker.
Omatra Hotels,Hospitality,Seed,Kolkata,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,428192930.5603539,2020,2017.0,"NAVEED AHAMED, SYED SAQQA ABBAS",Capify
Awign,Job portal,Pre-series B,Bangalore,Operations and manpower outsourcing startup,428192930.5603539,2020,2016.0,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M"
NewsReach,Digital Media,Seed,Unknown,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,15000000.0,2020,2018.0,"Darshan Shah, Soniya Kundnani","Mumbai Angels, JITO Angel Network."
Cashfree,FinTech,Series B,Bangalore,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,350000000.0,2020,2015.0,"Akash Sinha, Reeju Datta","George Osborne, Smilegate Investment"
Credgenics,FinTech,Pre-series A,New Delhi,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",30000000.0,2020,2018.0,"Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures"
GeoIQ,AI,Seed,Bangalore,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.",3000000.0,2020,2018.0,"Devashish Fuloria, Tusheet Shrivastava, Ankita Thakur","Ankur Mittal, Mitesh Shah"
Country Delight,Dairy,Series C,Chandigarh,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,250000000.0,2020,2015.0,"Chakradhar Gade, Nitin Kaushal","IIFL Asset Management, Matrix Partners"
Quintype,Content management,Series A,Bangalore,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",35000000.0,2020,2014.0,Chirdeep Shetty,IIFL AMC
CARS24,Retail,Series E,Chandigarh,CARS24 is an India-based platform for selling used cars.,2000000000.0,2020,2015.0,"Mehul Agrawal, Ruchit Agarwal, Vikram Chopra","Global Car Group, Freemark holdings"
Astrogate Labs,SpaceTech,Undisclosed,Bangalore,Astrogate Labs provides high-quality products related to space infrastructure.,428192930.5603539,2020,2017.0,,"Venture Catalysts, Speciale Invest"
Power Gummies,HealthTech,Bridge,New Delhi,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,428192930.5603539,2020,2018.0,Divij Bajaj,Venture Catalysts
Cityflo,Transport,Series A,Mumbai,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,70000000.0,2020,2015.0,"Advaith Vishwanath, Ankit Agrawal, Jerin Venad, Rushabh Shah, Sankalp Kelshikar, Subhash Sundaravadivelu","Anupam Mittal, India Quotient"
AlgoBulls,Trading Platform,Undisclosed,Mumbai,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,2000000.0,2020,2019.0,"Pushpak Dagade, Jimmit Patel and Suraj Bathija",Venture Catalysts
Credgenics,FinTech,Pre-series A,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",30000000.0,2020,2018.0,"Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures"
Inntot,Tech,Undisclosed,Thiruvananthapuram,"Inntot Technologies, is a technology driven company.",428192930.5603539,2020,2014.0,Rajith Nair,Unicorn India Ventures
Ensuredit,FinTech,Pre-series A,Gurugram,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,3000000.0,2020,2019.0,"Amit, Rohit Sadhu, and Vikas Ranga",Venture Catalysts
Shipsy,AI,Series A,Gurugram,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,60000000.0,2020,2015.0,"Dhruv Agrawal, Himanshu Gupta, Soham Chokshi","DTDC, Udaan Angel Partners"
ERPNext,Tech,Undisclosed,Mumbai,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",10000000.0,2020,2008.0,Rushabh Mehta,Rainmatter
LightSpeedAI,Photonics startup,Undisclosed,Bangalore,Developer of an optoelectronic processor designed to accelerate AI computations.,428192930.5603539,2020,2019.0,"Rohin Y, PV Ramana","YourNest, growX ventures"
Grip Invest,FinTech,Pre-series A,Gurugram,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,428192930.5603539,2020,2020.0,"Nikhil Aggarwal, Vivek Gulati",Gemba Capital
Unacademy,EdTech,Undisclosed,Bangalore,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,428192930.5603539,2020,2015.0,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","Dragoneer Investment Group, Tiger Global Management"
Yellow Classes,EdTech,Pre-series A,Gurugram,New-age fun-learning platform for kids.,13000000.0,2020,2020.0,"Arpit Mittal, Anshul Gupta",India Quotient
Plum,HealthTech,Undisclosed,Bangalore,High quality health insurance and health benefits,41000000.0,2020,2019.0,"Abhishek Poddar, Saurabh Arora","Surge, Tanglin Venture Partners"
STAGE,Entertainment,Undisclosed,Indore,STAGE is an Indian language content platform for artist-led entertainment.,10000000.0,2020,2019.0,"Shashank Vaishnav, Vinay Singhal, Parveen Singhal",Venture Catalysts
Nykaa,Cosmetics,Undisclosed,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,428192930.5603539,2020,2012.0,Falguni Nayar,"Alia Bhatt, Katrina Kaif"
Kaagaz Scanner,Scanning app,Undisclosed,n/a,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,5750000.0,2020,2020.0,"Snehanshu Gandhi, Gaurav Shrishrimal",Pravega Ventures
NIRA,FinTech,Undisclosed,Bangalore,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",10000000.0,2020,2017.0,"Rohit Sen, Nupur Gupta","Techstars Bangalore Accelerator, Techstars"
Prolixr,Skincare startup,Seed,Gurugram,A premium skincare brand committed towards building innovative skin care wellness.,428192930.5603539,2020,2018.0,"Aditya Sharma, Jayesh Hans","Alfa Ventures, Divij Bajaj"
Byju's,EdTech,Undisclosed,Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,2000000000.0,2020,2011.0,"Byju Raveendran, Divya Gokulnath","Owl Ventures, Tiger Global Management"
DaMENSCH,E-Commerce,Undisclosed,Bangalore,DaMENSCH is a designer and seller of men's apparel.,60000000.0,2020,2018.0,"Anurag Saboo, Gaurav Pushkar","Whiteboard Capital, Matrix Partners India"
Country Delight,Food and Beverages,Series C,Chandigarh,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,250000000.0,2020,2015.0,"Chakradhar Gade, Nitin Kaushal","Orios Venture Partners, Matrix Partners India"
SignalX,AI,Seed,Hyderabad,SignalX offers an artificial intelligence-powered SaaS platform,8000000.0,2020,2018.0,"Govind Balachandran, Zakir Wahab, Piyush Arora","9Unicorns, 3Lines VC, Hyderabad Angels"
Lancify,EdTech,Undisclosed,Bangalore,Lancify is building the world's strongest young workforce,3000000.0,2020,2018.0,"Gowtham Sundaresan, Azan Barodawala","Techstars, Techstars Bangalore Accelerator"
Krimanshi,BioTechnology,Seed,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,6000000.0,2020,2015.0,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City"
Instoried,AI,Pre-series A,Bangalore,Instoried is an augmented writing platform which improves customer interest and engagement.,10000000.0,2020,2018.0,"Sharmin Ali, Sutanshu Raj","Venture Catalysts, SOSV"
PlayerzPot,Gaming,Series A,Mumbai,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",30000000.0,2020,2015.0,"Yogesh, Mitesh Gangar",
Instamojo,FinTech,Undisclosed,Bangalore,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.",428192930.5603539,2020,2012.0,"Aditya Sengupta, Akash Gehani, Harshad Sharma, Sampad Swain","BASE, Gunosy Capital"
Turtlemint,HealthTech,Undisclosed,Mumbai,Turtlemint has built Indian personalized insurance platform,300000000.0,2020,2015.0,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah","Nexus Venture Partners, Dream Incubator"
Arata,E-Commerce,Pre-series A,New Delhi,Arata is an e-commerce site for beauty products and cosmetics.,10000000.0,2020,2017.0,"Dhruv Madhok, Dhruv Bhasin",DSG Consumer Partners
MPL,Gaming,Undisclosed,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,50000000.0,2020,2018.0,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners"
True Balance,FinTech,Undisclosed,Gurugram,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,280000000.0,2020,2014.0,"Cheolwon Lee, Jay Yi, Martin Lee","IBK Capital, SB Partners"
Thrive,FoodTech,Pre-series A,Mumbai,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.",428192930.5603539,2020,2020.0,"Dhruv Dewan, Krishi Fagwani","Whiteboard Capital, Ahimsa Capital"
Kitchens Centre,Proptech,Pre-series A,New Delhi,Kitchens Centre offers turnkey solutions to cloud kitchens.,428192930.5603539,2020,2019.0,Lakshay Jain,"Jonathan Swanson, Ankush Gera"
Prescribe,HealthTech,Undisclosed,Chennai,Provide online services to patients by leveraging WhatsApp.,1000000.0,2020,2019.0,Nived Narayanan,Titan Capital
Nepra,CleanTech,Series C,Ahmedabad,NEPRA Resource Management provides waste management solutions in India.,180000000.0,2020,2006.0,Sandeep Patel,"Asha Impact, Aavishkaar Venture Capital"
inFeedo,SaaS,Undisclosed,Gurugram,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",32000000.0,2020,2013.0,Tanmaya Jain,"Peyush Bansal, Ritesh Malik"
Shilpa Sciences,HealthTech,Pre-series A,Bangalore,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,428192930.5603539,2020,2014.0,Ashwin Lal,AngelList India
Arzooo,Tech,Undisclosed,Bangalore,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product",428192930.5603539,2020,2016.0,"Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group"
MindTickle,SaaS platform,Debt,Pune,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,1000000000.0,2020,2011.0,"Deepak Diwakar, Krishna Depura, Mohit Garg, Nishant Mungali","Canaan Partners, NewView Capital"
Slice,FinTech,Debt,Bangalore,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,50000000.0,2020,2016.0,"Deepak Malhotra, Rajan Bajaj","Better Capital, Gunosy"
Rapawalk,E-Commerce,Seed,Bangalore,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,3000000.0,2020,2017.0,"Kashif Mohammad, Aravind Maddireddy","Sanjay Ramakrishnan, Ravi Garikipati"
Oga Fit's,Fitness,Pre-series A,Bangalore,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,428192930.5603539,2020,2017.0,Ashish Rawat,9Unicorns
LAVAL,Cosmetics,Pre-series A,Bangalore,"Laval Cosmetics, affordable makeup for all ages",428192930.5603539,2020,2016.0,"Shrishti, Prithika",Jazal Group
Stride Ventures,Venture Capital,Undisclosed,New Delhi,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,800000000.0,2020,2019.0,Ishpreet Gandhi,Small Industries Development Bank of India
BlackSoil,FinTech,Undisclosed,Mumbai,Blacksoil Advisory is an independent boutique advisory firm.,100000000.0,2020,2016.0,Ankur Bansal,
Biocon,Health Care,Undisclosed,Bangalore,"Biocon is a healthcare and technology, company focused on biotechnology.",150000000.0,2020,1978.0,Kiran Mazumdar-Shaw,Goldman Sachs
Clientjoy,SaaS,Pre-series A,Unknown,Client Management Software For Modern Agencies.,8000000.0,2020,2013.0,"Abhishek Doshi, Anupama Panchal, Shashwat Bhatt, Yash Shah","LetsVenture, Jyotsna Bapat"
Xpressbees,E-Commerce,Undisclosed,Pune,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,1000000000.0,2020,2015.0,"Amitava Saha, Supam Maheshwari","Alibaba Group, InnoVen Capital"
GalaxyCard,FinTech,Seed,Gurugram,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,428192930.5603539,2020,2017.0,"Amit Kumar, Gunjeet Singh",India Accelerator
Wellness Forever,HealthTech,Undisclosed,Mumbai,Wellness Forever is the one-stop destination for wellness,1000000000.0,2020,2008.0,"Ashraf Biran, Gulshan Bakhtiani, Mohan Chavan","Poonawalla, Allana Group"
MoooFarm,AgriTech,Pre-seed,Gurugram,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,5000000.0,2020,2019.0,"Param Singh, Aashna Singh, Abhijeet Mittal, Jitesh Arora","Navus Ventures, Rockstart"
BitClass,PaaS startup,Seed,Bangalore,BitClass is a PaaS solution which helps teachers set up their independent live classes,20000000.0,2020,2020.0,"Gunjan Kejriwal, Utsav Tiwary","AET Japan, Figure Eight Investments, Waterbridge Ventures"
Gonuts,Entertainment,Seed,Mumbai,Personalised Video shoutouts from favourite celebrity.,4000000.0,2020,2020.0,"Vinamra Pandiya, Mayank Gupta, Joji George","Sweta Rau, Archana Priyadarshini"
Uolo,EdTech,Seed,Bangalore,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,20000000.0,2020,2013.0,"Pallav Pandey, Ankur Pandey, Siddharth Singh","Rajul Garg, Purvi Capital"
Kirana King,Retail,Pre-series A,Jaipur,"A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",9000000.0,2020,2014.0,Anup Kumar,Rajasthan Venture Capital Fund
Jade Forest,Beverages,Seed,New Delhi,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",2500000.0,2020,,"Punweet Singh, Shuchir Suri",
iKure,HealthTech,Undisclosed,Kolkata,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,428192930.5603539,2020,2010.0,Sujay Santra,"Ratan Tata, Inflection Point Ventures, Ankur Mittal"
FrontRow,EdTech,Seed,Bangalore,"Comprehensive courses, taught by idols.",32000000.0,2020,,"Mikhil Raj, Shubhadit Sharma, Ishaan Preet Singh","Lightspeed, Elevation, Deepika Padukone"
Reliance Retail,E-Commerce,Undisclosed,Mumbai,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,100000000.0,2020,2006.0,Mukesh Ambani,"Abu Dhabi Investment Authority, GIC"
TUBBR,Social Media,Undisclosed,Unknown,World's First Personal Social Network,428192930.5603539,2020,2019.0,"Saurabh Uttam, Ravi Singhal",Global Ascent Partners
Ather Energy,Automobile,Series D,Bangalore,Ather Energy is a manufacturer of electric scooters.,350000000.0,2020,2013.0,"Arun Vinayak, Swapnil Jain, Tarun Mehta",HeroMotoCorp Ltd and Sachin Bansal
Routematic,SaaS,Undisclosed,Bangalore,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,20000000.0,2020,2007.0,"Sriram Kannan, Surajit Das","VAMM Ventures, Naresh Malhotra"
LivFin,FinTech,Undisclosed,New Delhi,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),47000000.0,2020,2017.0,Rakesh Malhotra,"DEG, KFW DEG"
Universal Sportsbiz Pvt Ltd,Fashion,Undisclosed,Bangalore,A fashion startup based in Bengaluru.,428192930.5603539,2020,2012.0,Anjana Reddy,"Accel, Alteria Capital"
Lattu Kids,EdTech,Undisclosed,Mumbai,Lattu kids is an edutainment platform for preschool kids.,428192930.5603539,2020,2017.0,Vivek Bhutyani,Mumbai Angels Network
Eggoz,Food & Beverages,Pre-series A,Indore,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.",15000000.0,2020,2016.0,"Abhishek Negi, Aditya Singh, Pankaj Pandey, Uttam Kumar","AVANA Capital, Rebright Partners"
Steradian Semiconductors,Deeptech,Undisclosed,Bangalore,Semiconductor company focused on CMOS millimeter wave products for Radar.,428192930.5603539,2020,2016.0,"Gireesh Rajendran, Ashish Lachhwani, Apu Sivadas, Rakesh Kumar and Alok Joshi",Endiya Partners.
CHARGE+ZONE,EV,Pre-series A,Unknown,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",30000000.0,2020,2018.0,"Kartikey Hariyani, Pavan Bakeri",Mumbai Angels
Stones2milestones,EdTech,Bridge,Gurugram,Stones2milestones is India (Delhi) Based EdTech Company,20000000.0,2020,2008.0,"Kavish Gadia, Nikhil Saraf","Menterra Venture Advisors, Emandi Sankara Rao"
Udacity,EdTech,Debt,Unknown,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.",750000000.0,2020,2011.0,"David Stavens, Mike Sokolsky, Sebastian Thrun","Hercules Capital, Inc.Bertelsmann"
AjnaLens,AR/VR,Bridge,Thane,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",10000000.0,2020,2014.0,"Abhijit Patil, Abhishek Tomar, Pankaj Raut","Mohsin Hani Al Bahrani, MoD"
Gully Network,E-Commerce,Pre-series A,Bangalore,Gully Network is a tech-enabled network of mid-sized grocery stores.,12000000.0,2020,2019.0,"Ajay Nain, Prateek Chaturvedi","CP Ventures, Orios Venture Partners"
TurboHire,Recruitment,Seed,Hyderabad,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,10000000.0,2020,2018.0,"Abhishek Kabra, Aman Gour","Kia Ora Ventures, Pentathlon Ventures"
Traya,HealthTech,Seed,Mumbai,work with our customers closely to get their hair health sorted for long-term effective results,428192930.5603539,2020,,"Altaf Saiyed, Saloni Anand","Kae Capital, Whiteboard Capital"
Charcoal Eats,QSR startup,Undisclosed,Mumbai,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",20000000.0,2020,2015.0,"Anurag Mehrotra, Krishnakant Thakur, Mohammed Bhol, Gautam Singh",Lokmat Investments
Mitron TV,Video platform,Undisclosed,Bangalore,Mitron is a free short videoplatform for next generation,428192930.5603539,2020,2020.0,"Shivank Agarwal, Anish Khandelwal",9Unicorns
Svami,Food & Beverages,Undisclosed,Mumbai,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,8000000.0,2020,2016.0,Sahil Jatana,"Niren Shah, Rukam Capital Trust"
Dhurnia,EdTech,Undisclosed,Chandigarh,Developer of an online learning platform intended for various competitive exam preparations.,1000000.0,2020,2018.0,"Ajay Kumar, Murari Singh","Chandigarh Angels Network, Modulor Capital"
Expertrons,EdTech,Undisclosed,Mumbai,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,428192930.5603539,2020,2019.0,Jatin Solanki,"Rohit Chanana, Sukanta Ganguly"
Leena AI,AI,Undisclosed,Unknown,Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,80000000.0,2020,2015.0,"Adit Jain, Anand Prajapati, Mayank Goyal","Alan Patricof, Jim Moffatt"
Bizlog,Logistics,Undisclosed,Bangalore,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,10000000.0,2020,2016.0,"HS Srinivasan, Krishnan Rajan, E.V. Shunmugam",IAN Fund
Tamasha.live,Gaming,Undisclosed,Mumbai,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.",3000000.0,2020,2020.0,"Saurabh Gupta, Siddharth Swarnkar","9Unicorns, Titan Capital, FirstCheque"
Fedo,AI,Undisclosed,Bangalore,Artificial Intelligence based Credit Score for Health,10000000.0,2020,2017.0,"Arun Mallavarapu, Prasanth Madavana",AIM Smart City
FabHotels,Hospitality,Undisclosed,Gurugram,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,10000000.0,2020,2015.0,"Adarsh Manpuria, Vaibhav Aggarwal","RB Investments Pte. Ltd, Goldman Sachs"
Freshokartz,AgriTech,Pre-series A,Jaipur,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides",10000000.0,2020,2016.0,"Chandrakanta, Rajendra Lora","Rajasthan Venture Capital Fund, Innovana Thinklabs"
FlexiLoans,FinTech,Debt,Mumbai,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.",60000000.0,2020,2016.0,"Abhishek Kothari, Deepak Jain, Manish Lunia, Ritesh Jain",>Vikram Sud
Agrix,AgriTech,Undisclosed,Patna,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.",428192930.5603539,2020,2020.0,"Nilay Pandey, Saurav Singh, Vivek Kumar",Maple Capital Advisors
BharatAgri,AgriTech,Pre-series A,Pune,A Smart Farming Technology Platform for Indian Farmers,428192930.5603539,2020,2017.0,"Siddharth Dialani, Sai Gole","021 Capital, India Quotient"
FreshtoHome,E-Commerce,Series C,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,1210000000.0,2020,2015.0,Shan Kadavil,"Ascent Capital, Iron Pillar"
Credable,FinTech,Undisclosed,Mumbai,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,45000000.0,2020,2017.0,Nirav Choksi,Oaks Asset Management
Railofy,Transport,Seed,Mumbai,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,50000000.0,2020,2019.0,"Rohan Dedhia, Vaibhav Saraf, Hrishabh Sanghvi","Roots Ventures, Better Capital"
Finova Capital,FinTech,Undisclosed,Jaipur,Finova Capital is a non-banking financial company.,550000000.0,2020,2016.0,"Mohit Sahney, Sunita Sahney","Sequoia Capital India, Faering Capital"
Teachmint,EdTech,Seed,Bangalore,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,35000000.0,2020,2020.0,"Mihir, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Lightspeed India
Peel-Works,E-Commerce,Undisclosed,Mumbai,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,30000000.0,2020,2010.0,"Sachin Chhabra, Nidhi Ramachandran","CESC Ventures, Brun Raschle"
Janani,Fertility tech,Pre-seed,Bangalore,Janani aims to make the process of infertility treatment and assisted fertilisation easier,2000000.0,2020,2020.0,Nilay Mehrotra,9Unicorns
Credgenics,FinTech,Seed,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",33000000.0,2020,2018.0,"Anand Agrawal, Mayank Khera, Rishabh Goel","Accel, Sunder Nookala"
Finelistings,Luxury car startup,Undisclosed,New Delhi,A Used Luxury Car Marketplace,428192930.5603539,2020,2015.0,Aneesh Mathur,Justdial
Wellversed,Health Care,Pre-series A,New Delhi,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,428192930.5603539,2020,2018.0,"Aanan Khurma, Aditya Seth, Ripunjay Chachan","KLUB Works, Shankar Narayanan"
Jumbotail,E-Commerce,Series B2,Bangalore,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",110000000.0,2020,2015.0,"Ashish Jhina, Karthik Venkateswaran",Nexus Venture Partners and 23 High Networth Individuals (HNIs)
Winzo,Gaming,Undisclosed,New Delhi,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,20000000.0,2020,2018.0,"Paavan Nanda, Saumya Singh Rathore","Makers Fund, Courtside Ventures"
